Company,Country/Region,Tech type,TRL (2025),First plant size (t CO₂/yr),Funding round,Round date (YYYY-MM),Amount (USD M),Lead investor(s),Total funding to date (USD M),Public grants / DOE award (USD M),Policy incentives targeted,Offtake buyers,Credit price disclosed? (Y/N),Projected cost ($/t CO₂),Storage partner / site,Source link,"Data quality (1–Low, 3=High)",amount_original,round_class,Notes / gaps,Disclosed credit price ($/t),45Q eligible (Y/N),LCFS eligible (Y/N)
Carbon Engineering,CA/US,Solvent,7.0,500000.0,Private Investment Round,2019-03-21,68.0,Chevron Technology Ventures;Oxy Low Carbon Ventures;BHP,,,,Amazon; Airbus; ANA,N,94.0,"Occidental 1PointFive, Ector County TX",https://www.globenewswire.com/news-release/2019/03/21/1758562/0/en/Carbon-Engineering-concludes-USD-68-million-private-investment-round-and-proceeds-with-commercialization-of-carbon-dioxide-removal-technology.html,3,USD 68 M,Equity,,,Y,N
Carbon Engineering,CA/US,Solvent,7.0,500000.0,Grant,2019-05-29,18.8,Government of Canada,,18.8,Strategic Innovation Fund,Amazon; Airbus; ANA,N,94.0,"Occidental 1PointFive, Ector County TX","https://search.open.canada.ca/grants/record/ised-isde,812806",3,CAD 25 M,Grant,,,Y,N
Carbon Engineering,CA/US,Solvent,7.0,500000.0,Grant,2021-05-24,0.35,UK BEIS,,0.35,BEIS CCUS Innovation Programme,Amazon; Airbus; ANA,N,94.0,"Occidental 1PointFive, Ector County TX",https://www.gov.uk/government/news/166-million-cash-injection-for-green-technology-and-60000-uk-jobs,3,GBP 0.25 M,Grant,,,Y,N
Carbon Engineering,CA/US,Solvent,7.0,500000.0,Strategic Investment,2022-11-17,,Airbus;Air Canada,,,,Amazon; Airbus; ANA,N,94.0,"Occidental 1PointFive, Ector County TX",https://www.globenewswire.com/news-release/2022/11/17/2558735/0/en/Carbon-Engineering-receives-millions-in-investment-from-Airbus-and-Air-Canada-to-help-accelerate-scalable-affordable-decarbonization-solutions.html,2,undisclosed,Equity,undisclosed amount,,Y,N
Carbon Engineering,CA/US,Solvent,7.0,500000.0,Acquisition,2023-08-15,1100.0,Occidental Petroleum,,,,Amazon; Airbus; ANA,N,94.0,"Occidental 1PointFive, Ector County TX",https://www.reuters.com/markets/deals/occidental-petroleum-buy-carbon-engineering-11-bln-2023-08-15/,3,USD 1.1B,Acquisition,,,Y,N
Carbon Engineering,CA/US,Solvent,7.0,500000.0,Grant,2024-11-28,3.7,Natural Resources Canada,,3.7,Energy Innovation Program,Amazon; Airbus; ANA,N,94.0,"Occidental 1PointFive, Ector County TX",https://www.canada.ca/en/natural-resources-canada/news/2024/11/government-of-canada-takes-strides-to-advance-decarbonization-of-heavy-emitting-industries-in-british-columbia.html,3,CAD 5 M,Grant,,,Y,N
Heirloom,US,Mineral looping,6.0,1000.0,Series B,2024-12-04,150.0,Future Positive;Lowercarbon Capital,,,,Microsoft; Stripe; Shopify; Klarna,Y,100.0,"CarbonCure concrete, Tracy CA",https://www.heirloomcarbon.com/news/heirloom-closes-150-million-series-b,3,USD 150 M,Equity,,2000.0,Y,Y
Heirloom,US,Mineral looping,6.0,1000.0,Series A,2022-03-17,53.0,Breakthrough Energy Ventures;Carbon Direct Capital Management;Ahren Innovation Capital,,,,Microsoft; Stripe; Shopify; Klarna,Y,100.0,"CarbonCure concrete, Tracy CA",https://www.prnewswire.com/news-releases/direct-air-capture-startup-heirloom-raises-53mm-series-a-among-the-largest-investments-in-new-carbon-removal-technologies-301505399.html,3,USD 53 M,Equity,,2000.0,Y,Y
Heirloom,US,Mineral looping,6.0,1000.0,Grant,2024-03-27,50.0,U.S. DOE,,50.0,DOE DAC Hub,Microsoft; Stripe; Shopify; Klarna,Y,100.0,"CarbonCure concrete, Tracy CA",https://www.heirloomcarbon.com/news/project-cypress-awarded-contract-from-department-of-energy,3,USD 50 M,Cost-share grant,,2000.0,Y,Y
Heirloom,US,Mineral looping,6.0,1000.0,Grant,2021-03-31,0.477,U.S. DOE ARPA-E,,0.477,,Microsoft; Stripe; Shopify; Klarna,Y,100.0,"CarbonCure concrete, Tracy CA",https://arpa-e.energy.gov/sites/default/files/migrated/ARPA-E%20FY%202021%20Annual%20Report%20to%20Congress_FINAL.pdf,3,USD 0.477 M,Grant,,2000.0,Y,Y
Climeworks,Switzerland/Iceland,Solid sorbent DAC,8.0,4000.0,Series B,2018-09-01,30.8,Zurich Cantonal Bank,,,,Microsoft; Stripe; Shopify,Y,250.0,"Carbfix, Iceland",https://renewable-carbon.eu/news/climeworks-raises-chf-30-5m-usd-30-8m-to-commercialize-carbon-dioxide-removal-technology/,3,CHF 30.5 M,Equity,,775.0,Y,N
Climeworks,Switzerland/Iceland,Solid sorbent DAC,8.0,4000.0,Series C,2020-08-01,110.0,,,,,Microsoft; Stripe; Shopify,Y,250.0,"Carbfix, Iceland",https://climeworks.com/press-release/recent-investment-in-climeworks-has-been-boosted-from,3,CHF 100 M,Equity,,775.0,Y,N
Climeworks,Switzerland/Iceland,Solid sorbent DAC,8.0,4000.0,Series F,2022-04-05,650.0,Partners Group;GIC;Baillie Gifford,,,,Microsoft; Stripe; Shopify,Y,250.0,"Carbfix, Iceland",https://climeworks.com/news/equity-fundraising,3,CHF 600 M,Equity,,775.0,Y,N
Climeworks,Switzerland/Iceland,Solid sorbent DAC,8.0,4000.0,Grant,2024-03-26,50.0,U.S. DOE,,50.0,U.S. DOE Regional DAC Hubs,Microsoft; Stripe; Shopify,Y,250.0,"Carbfix, Iceland",https://climeworks.com/news/project-cypress-team-awarded-funding-from-us-doe,3,USD 50 M,Cost-share grant,,775.0,Y,N
